filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20190319_124452.jpg,571,428,onion,449,88,537,244
IMG_20190319_124452.jpg,571,428,veg_kadhai,17,63,113,226
IMG_20190319_124452.jpg,571,428,masoor_dal,13,266,154,415
IMG_20190319_124452.jpg,571,428,jeera_rice,121,53,420,242
IMG_20190319_131559.jpg,658,493,chapati,77,0,223,205
IMG_20190319_131559.jpg,658,493,paneer_lababdar,235,52,450,256
IMG_20190319_131559.jpg,658,493,masoor_dal,446,90,602,253
IMG_20190319_131559.jpg,658,493,veg_kadhai,53,219,159,419
IMG_20190319_131559.jpg,658,493,rice,190,251,470,460
IMG_20190319_131559.jpg,658,493,tomato,472,280,614,445
IMG_20190319_131623.jpg,658,493,chapati,47,8,178,244
IMG_20190319_131623.jpg,658,493,rice,191,34,530,270
IMG_20190319_131623.jpg,658,493,veg_kadhai,549,91,641,333
IMG_20190319_131623.jpg,658,493,masoor_dal,59,267,221,439
IMG_20190319_131623.jpg,658,493,paneer_lababdar,219,269,447,464
IMG_20190319_131623.jpg,658,493,tomato,447,294,614,481
IMG_20190319_131618.jpg,658,493,tomato,423,265,578,441
IMG_20190319_131618.jpg,658,493,paneer_lababdar,193,261,402,449
IMG_20190319_131618.jpg,658,493,masoor_dal,25,279,220,446
IMG_20190319_131618.jpg,658,493,chapati,0,50,133,276
IMG_20190319_131618.jpg,658,493,jeera_rice,141,56,475,253
IMG_20190319_131618.jpg,658,493,veg_kadhai,484,62,607,278
IMG_20190319_131522.jpg,658,493,chapati,66,75,233,251
IMG_20190319_131522.jpg,658,493,paneer_lababdar,227,89,432,238
IMG_20190319_131522.jpg,658,493,masoor_dal,402,88,587,226
IMG_20190319_131522.jpg,658,493,veg_kadhai,60,249,184,457
IMG_20190319_131522.jpg,658,493,jeera_rice,172,264,502,444
IMG_20190319_131522.jpg,658,493,tomato,487,234,620,410
IMG_20190319_124444.jpg,571,428,jeera_rice,145,55,429,218
IMG_20190319_124444.jpg,571,428,veg_kadhai,43,54,125,222
IMG_20190319_124444.jpg,571,428,masoor_dal,29,237,161,405
IMG_20190319_124444.jpg,571,428,onion,441,89,533,246
IMG_20190319_131557.jpg,658,493,tomato,428,176,555,358
IMG_20190319_131557.jpg,658,493,chapati,2,19,141,213
IMG_20190319_131557.jpg,658,493,paneer_lababdar,164,28,360,224
IMG_20190319_131557.jpg,658,493,masoor_dal,329,53,506,179
IMG_20190319_131557.jpg,658,493,veg_kadhai,0,260,141,449
IMG_20190319_131557.jpg,658,493,jeera_rice,133,226,439,403
IMG_20190319_124507.jpg,571,428,veg_kadhai,421,190,571,371
IMG_20190319_124507.jpg,571,428,paneer_lababdar,443,11,563,191
IMG_20190319_124507.jpg,571,428,chapati,249,3,441,190
IMG_20190319_124507.jpg,571,428,jeera_rice,147,23,258,189
IMG_20190319_124507.jpg,571,428,masoor_dal,41,0,132,214
IMG_20190319_124550.jpg,571,428,chapati,0,23,205,181
IMG_20190319_124550.jpg,571,428,paneer_lababdar,193,39,393,166
IMG_20190319_124550.jpg,571,428,jeera_rice,141,192,430,373
IMG_20190319_124550.jpg,571,428,onion,457,168,554,301
IMG_20190319_124550.jpg,571,428,masoor_dal,380,17,558,155
IMG_20190319_124550.jpg,571,428,lemon,471,296,547,361
IMG_20190319_124447.jpg,571,428,veg_kadhai,38,16,139,195
IMG_20190319_124447.jpg,571,428,masoor_dal,34,218,172,384
IMG_20190319_124447.jpg,571,428,jeera_rice,144,27,423,189
